question,label
현재 페이지 반복해줘,S-NOW 0 0
지금 내용 다시 말해줘,S-NOW 0 0 0
현재 내용 다시 말해줘,S-NOW 0 0 0
다시 말해줄래,0 0
다시,0
다시 한번 들려줘,0 0 0
한번만 더 들려줘,0 0 0
한번 더 말해줘,0 0 0
다시 한번 말해줘,0 0 0
지금 내용 다시,S-NOW 0 0
지금 내용 다시 들려줘,S-NOW 0 0 0
현재 내용 다시 들려줘,S-NOW 0 0 0
다시 한번 말해줘,0 0 0
현재 레시피 다시 말해줘,S-NOW 0 0 0
지금 레시피 다시 말해줘,S-NOW 0 0 0
전체 레시피 다시 말해줘,S-TOTAL 0 0 0
레시피 처음부터 다시,0 S-TOTAL 0
처음부터 다시 말해줘,S-TOTAL 0 0
처음부터 다시 들려줘,S-TOTAL 0 0
처음부터 다시,S-TOTAL 0
시작부터 다시 들려줘,S-TOTAL 0 0
처음으로 돌아가줘,S-TOTAL 0
처음 부분으로 돌아가줘,S-TOTAL 0 0
시작 부분으로 돌아가줘,S-TOTAL 0 0
처음부터 다시 시작해줘,S-TOTAL 0 0
시작부터 다시 시작해줘,S-TOTAL 0 0
레시피 다시 시작해줘,0 S-TOTAL 0
첫부분 부터 다시 말해줘,S-TOTAL 0 0 0
시작부터 다시 말해줘,S-TOTAL 0 0
타이머 세팅해줘,0 0
타이머 1분 세팅해줘,0 S-TIME 0
타이머 2분 세팅해줘,0 S-TIME 0
타이머 3분 세팅해줘,0 S-TIME 0
타이머 4분 세팅해줘,0 S-TIME 0
타이머,0
1분 타이머,S-TIME 0
1분 30초 타이머,B-TIME E-TIME 0
2분 타이머,S-TIME 0
2분 30초 타이머,B-TIME E-TIME 0
3분 타이머,S-TIME 0
3분 30초 타이머,B-TIME E-TIME 0
4분 타이머,S-TIME 0
4분 30초 타이머,B-TIME E-TIME 0
타이머 설정해줘,0 0
타이머 1분 설정해줘,0 S-TIME 0
타이머 1분 30초 설정해줘,0 B-TIME E-TIME 0
타이머 2분 설정해줘,0 S-TIME 0
타이머 2분 30초 설정해줘,0 B-TIME E-TIME 0
타이머 3분 설정해줘,0 S-TIME 0
타이머 3분 30초 설정해줘,0 B-TIME E-TIME 0
타이머 4분 설정해줘,0 S-TIME 0
타이머 4분 30초 설정해줘,0 B-TIME E-TIME 0
알람 설정해줘,0 0
1분 알람 설정해줘,S-TIME 0 0
1분 30초 알람 설정해줘,B-TIME E-TIME 0 0
2분 알람 설정해줘,S-TIME 0 0
2분 30초 알람 설정해줘,B-TIME E-TIME 0 0
3분 알람 설정해줘,S-TIME 0 0
3분 30초 알람 설정해줘,B-TIME E-TIME 0 0
4분 알람 설정해줘,S-TIME 0 0
4분 30초 알람 설정해줘,B-TIME E-TIME 0 0
알람 맞춰줘,0 0
1분 알람 맞춰줘,S-TIME 0 0
1분 30초 알람 맞춰줘,B-TIME E-TIME 0 0
2분 알람 맞춰줘,S-TIME 0 0
2분 30초 알람 맞춰줘,B-TIME E-TIME 0 0
3분 알람 맞춰줘,S-TIME 0 0
3분 30초 알람 맞춰줘,B-TIME E-TIME 0 0
4분 알람 맞춰줘,S-TIME 0 0
4분 30초 알람 맞춰줘,B-TIME E-TIME 0 0
알람,0
1분 알람,S-TIME 0
1분 30초 알림,B-TIME E-TIME 0
2분 알림,S-TIME 0
2분 30초 알림,B-TIME E-TIME 0
3분 알림,S-TIME 0
3분 30초 알림,B-TIME E-TIME 0
4분 알림,S-TIME 0
4분 30초 알림,B-TIME E-TIME 0
이전 보여줘,0 0
이전,0
2페이지 앞으로,S-Pcount 0
이전내용 알려줘,0 0
이전으로 넘겨줘,0 0
이전 2장 넘겨줘,0 S-Pcount 0
이전 3장 넘겨줘,0 S-Pcount 0
이전 4장 넘겨줘,0 S-Pcount 0
이전 5장 넘겨줘,0 S-Pcount 0
이전 알려줘,0 0
2장 이전 알려줘,S-Pcount 0 0
3장 이전 알려줘,S-Pcount 0 0
4장 이전 알려줘,S-Pcount 0 0
5장 이전 알려줘,S-Pcount 0 0
이전 레시피,0 0
2장 이전 레시피,S-Pcount 0 0
3장 이전 레시피,S-Pcount 0 0
4장 이전 레시피,S-Pcount 0 0
5장 이전 레시피,S-Pcount 0 0
이 이전 내용 알려줘,0 0 0 0
2장 이전 내용 알려줘,S-Pcount 0 0 0
3장 이전 내용 알려줘,S-Pcount 0 0 0
4장 이전 내용 알려줘,S-Pcount 0 0 0
5장 이전 내용 알려줘,S-Pcount 0 0 0
한장 전으로,S-Pcount 0
두장 전으로,S-Pcount 0
세장 전으로,S-Pcount 0
네장 전으로,S-Pcount 0
다섯장 전으로,S-Pcount 0
두페이지 이전,S-Pcount 0
세페이지 이전,S-Pcount 0
네페이지 이전,S-Pcount 0
다섯페이지 이전,S-Pcount 0
이전장 보여줘,0 0
앞 내용 보여줘,0 0 0
2장 앞 내용 보여줘,S-Pcount 0 0 0
3장 앞 내용 보여줘,S-Pcount 0 0 0
4장 앞 내용 보여줘,S-Pcount 0 0 0
5장 앞 내용 보여줘,S-Pcount 0 0 0
이전 내용 알려줘,0 0 0
이전 페이지 보여줘,0 0 0
이전 2페이지 보여줘,0 S-Pcount 0
이전 3페이지 보여줘,0 S-Pcount 0
이전 4페이지 보여줘,0 S-Pcount 0
이전 5페이지 보여줘,0 S-Pcount 0
이전 내용으로 넘겨줘,0 0 0
다음 2장 앞으로 넘겨줘,0 S-Pcount 0 0
다음 3장 앞으로 넘겨줘,0 S-Pcount 0 0
다음 4장 앞으로 넘겨줘,0 S-Pcount 0 0
다음 5장 앞으로 넘겨줘,0 S-Pcount 0 0
앞으로,0
다음 보여줘,0 0
다음,0
2페이지 넘겨줘,S-Pcount 0
다음내용 알려줘,0 0
다음 넘겨줘,0 0
다음 2장 넘겨줘,0 S-Pcount 0
다음 3장 넘겨줘,0 S-Pcount 0
다음 4장 넘겨줘,0 S-Pcount 0
다음 5장 넘겨줘,0 S-Pcount 0
다음 알려줘,0 0
2장 다음 알려줘,S-Pcount 0 0
3장 다음 알려줘,S-Pcount 0 0
4장 다음 알려줘,S-Pcount 0 0
5장 다음 알려줘,S-Pcount 0 0
다음 레시피,0 0
2장 다음 레시피,S-Pcount 0 0
3장 다음 레시피,S-Pcount 0 0
4장 다음 레시피,S-Pcount 0 0
5장 다음 레시피,S-Pcount 0 0
이 다음 내용 알려줘,0 0 0 0
2장 다음 내용 알려줘,S-Pcount 0 0 0
3장 다음 내용 알려줘,S-Pcount 0 0 0
4장 다음 내용 알려줘,S-Pcount 0 0 0
5장 다음 내용 알려줘,S-Pcount 0 0 0
한장 넘겨줘,S-Pcount 0
두장 넘겨줘,S-Pcount 0
세장 넘겨줘,S-Pcount 0
네장 넘겨줘,S-Pcount 0
다섯장 넘겨줘,S-Pcount 0
두페이지 다음,S-Pcount 0
세페이지 다음,S-Pcount 0
네페이지 다음,S-Pcount 0
다섯페이지 다음,S-Pcount 0
다음장 보여줘,0 0
다음 내용 보여줘,0 0 0
2장뒤 내용 보여줘,S-Pcount 0 0
3장뒤 내용 보여줘,S-Pcount 0 0
4장뒤 내용 보여줘,S-Pcount 0 0
5장뒤 내용 보여줘,S-Pcount 0 0
다음 내용 알려줘,0 0 0
다음 페이지 보여줘,0 0 0
다음 2페이지 보여줘,0 S-Pcount 0
다음 3페이지 보여줘,0 S-Pcount 0
다음 4페이지 보여줘,0 S-Pcount 0
다음 5페이지 보여줘,0 S-Pcount 0
다음 내용으로 넘겨줘,0 0 0
다음 2장 뒤로 넘겨줘,0 S-Pcount 0 0
다음 3장 뒤로 넘겨줘,0 S-Pcount 0 0
다음 4장 뒤로 넘겨줘,0 S-Pcount 0 0
다음 5장 뒤로 넘겨줘,0 S-Pcount 0 0
넘겨,0
